file,function,lineno,has_doc
"library/cad_annotation.py","vtpnt",27,1
"library/cad_annotation.py","write_cad_text",35,1
"library/cad_annotation.py","write_mtext",83,1
"library/cad_annotation.py","add_dim_aligned",125,1
"library/cad_annotation.py","add_dim_rotated",149,1
"library/cad_annotation.py","add_dim_angular",175,1
"library/cad_annotation.py","add_dim_radial",201,1
"library/cad_annotation.py","add_dim_diametric",225,1
"library/cad_annotation.py","add_leader",251,1
"library/cad_annotation.py","get_text_content",279,1
"library/cad_annotation.py","set_text_content",303,1
"library/cad_annotation.py","get_text_height",327,1
"library/cad_annotation.py","set_text_height",343,1
"library/cad_annotation.py","get_text_rotation",364,1
"library/cad_annotation.py","set_text_rotation",381,1
"library/cad_annotation.py","batch_modify_text",400,1
"library/cad_annotation.py","create_table",428,1
"library/cad_annotation.py","set_table_cell_text",456,1
"library/cad_annotation.py","get_table_cell_text",477,1
"library/cad_blocks.py","get_block_name",40,1
"library/cad_blocks.py","huoqukuai_shuxing_zhi",50,0
"library/cad_blocks.py","update_block_def_attributes_safe",75,1
"library/cad_blocks.py","update_block_def_attributes_v7",243,1
"library/cad_blocks.py","attsync_block_instance",429,1
"library/cad_blocks.py","attsync_block_instance_base",460,1
"library/cad_blocks.py","set_attribute_mtext",515,1
"library/cad_blocks.py","get_block_attributes_dict",658,1
"library/cad_blocks.py","separate_entities_by_block_names",755,1
"library/cad_blocks.py","huoqu_kuai_pl",810,0
"library/cad_blocks.py","create_block_with_basepoint",840,0
"library/cad_blocks.py","create_block_with_triangle_and_text",858,0
"library/cad_blocks.py","huoqu_kuai_pl",883,0
"library/cad_blocks.py","get_bounding_box_of_block",909,0
"library/cad_blocks.py","create_new_block_with_insert_and_line",940,0
"library/cad_blocks.py","copy_and_move_blocks_from_layer",968,0
"library/cad_blocks.py","delete_block_instances_and_definition_retry",996,1
"library/cad_blocks.py","delete_block_instances_and_definition_optimized",1068,1
"library/cad_blocks.py","delete_block_instances_and_definition_optimized",1150,1
"library/cad_blocks.py","rename_block_entity",1236,1
"library/cad_blocks.py","get_block_instances",1264,1
"library/cad_blocks.py","get_entities_from_block_reference",1304,1
"library/cad_blocks.py","insert_block_into_autocad",1334,1
"library/cad_blocks.py","insert_standard_block",1361,1
"library/cad_blocks.py","insert_and_explode_dwg",1438,1
"library/cad_blocks.py","insert_and_explode_dwg",1533,1
"library/cad_blocks.py","get_large_block_instances",1638,1
"library/cad_blocks.py","get_large_block_instances_with_tolerance",1697,1
"library/cad_blocks.py","transform_point_by_block",1735,1
"library/cad_blocks.py","select_block_by_name",1771,1
"library/cad_blocks.py","get_all_block_definitions",1808,1
"library/cad_blocks.py","get_all_block_names",1869,1
"library/cad_blocks.py","purge_block",1888,1
"library/cad_blocks.py","purge_unused_blocks",1946,1
"library/cad_blocks.py","purge_block_1",1989,1
"library/cad_blocks.py","purge_unused_blocks_1",2130,1
"library/cad_blocks.py","reserve_block_names_for_new_insert",2291,1
"library/cad_blocks.py","get_selected_blockreference_names",2381,1
"library/cad_blocks.py","create_block_from_region_cad",2451,1
"library/cad_blocks.py","create_block_from_region_cmd",2798,1
"library/cad_blocks.py","create_block_from_list_cmd",2992,1
"library/cad_blocks.py","get_block_contents_at_same_location",3156,1
"library/cad_blocks.py","add_entities_to_block_direct",3214,1
"library/cad_blocks.py","add_entities_to_block_definition_explode",3398,1
"library/cad_blocks.py","redefine_block_with_entities",3539,1
"library/cad_blocks.py","extract_specific_entities_from_block",3720,1
"library/cad_blocks.py","safe_explode",3914,1
"library/cad_blocks.py","_atomic_explode_and_delete",3928,1
"library/cad_blocks.py","safe_explode_retry",3951,1
"library/cad_blocks.py","explode_single_object_marker",4088,1
"library/cad_blocks.py","safe_explode_and_delete",4176,1
"library/cad_blocks.py","count_blocks_by_name",4231,1
"library/cad_blocks.py","count_blocks_by_type",4252,1
"library/cad_blocks.py","generate_block_report",4275,1
"library/cad_blocks.py","batch_replace_blocks",4307,1
"library/cad_blocks.py","smart_replace_blocks",4341,1
"library/cad_control.py","fix_com_cache",46,1
"library/cad_control.py","delete_all_nul_under_folder",104,1
"library/cad_control.py","kill_dialog_killer",146,1
"library/cad_control.py","kill_python_script_by_name",186,1
"library/cad_control.py","kill_wps",491,1
"library/cad_control.py","close_all_excel_processes",529,1
"library/cad_control.py","safe_delete",633,1
"library/cad_control.py","move_entities_in_region",698,1
"library/cad_control.py","圆点",755,1
"library/cad_control.py","图纸背景",774,0
"library/cad_control.py","shitu_region",785,1
"library/cad_control.py","shitu_entity",807,1
"library/cad_control.py","record_screen_gif",850,1
"library/cad_control.py","minimize_all_windows",885,1
"library/cad_control.py","set_autocad_window_to_top_left",934,1
"library/cad_control.py","l",975,0
"library/cad_control.py","minimize_all_windows_d",985,1
"library/cad_control.py","minimize_all_windows_m",998,1
"library/cad_control.py","restore_and_position",1021,1
"library/cad_control.py","list_open_window_titles",1093,1
"library/cad_control.py","ceshubiao_weizhi",1107,1
"library/cad_control.py","run_idle_background",1119,1
"library/cad_control.py","click_and_drag",1145,1
"library/cad_control.py","click_and_find_image_shape",1169,1
"library/cad_control.py","right_click_and_move",1207,1
"library/cad_control.py","kill_all_idle",1228,1
"library/cad_control.py","set_idle_window_to_top_right",1242,0
"library/cad_control.py","r",1270,0
"library/cad_control.py","place_obs_bottom_right",1276,1
"library/cad_control.py","r2",1305,0
"library/cad_control.py","minimize_window",1311,1
"library/cad_control.py","maximize_autocad_window",1331,1
"library/cad_control.py","start_obs_recording_by_click",1366,1
"library/cad_control.py","fs",1392,1
"library/cad_control.py","xuanqun",1403,0
"library/cad_control.py","copy_to_clipboard",1434,1
"library/cad_control.py","xieweixin",1454,0
"library/cad_control.py","主操作函数",1478,0
"library/cad_control.py","main_func",1521,0
"library/cad_control.py","luping",1528,1
"library/cad_control.py","魔方",1576,0
"library/cad_control.py","run_py",1585,0
"library/cad_control.py","focus_cmdline",1604,1
"library/cad_control.py","activate_window_by_title",1618,1
"library/cad_control.py","click_in_window",1672,1
"library/cad_control.py","activate_and_click_aikeyun",1730,0
"library/cad_control.py","drag_in_window_simple",1766,1
"library/cad_control.py","run_auto_explode_area",1817,1
"library/cad_control.py","list_all_windows",1845,0
"library/cad_control.py","minimize_window",1857,1
"library/cad_control.py","maximize_autocad_window",1876,1
"library/cad_control.py","set_dwg_units_precision",1932,1
"library/cad_control.py","jd",1954,0
"library/cad_control.py","list_dim_styles",1960,1
"library/cad_control.py","set_current_dimstyle_via_command",1978,1
"library/cad_control.py","set_current_text_style",1994,1
"library/cad_control.py","huoqu_ziti_style",2011,0
"library/cad_control.py","create_text_style",2037,1
"library/cad_control.py","set_text_style_onlyshx",2088,1
"library/cad_control.py","set_text_style",2128,1
"library/cad_control.py","rename_conflicting_text_styles",2170,1
"library/cad_control.py","transfer_props_by_matchprop",2429,0
"library/cad_control.py","run_dual_threads_1",2539,1
"library/cad_control.py","cancel_cad_selection",2639,0
"library/cad_control.py","close_wps_window_by_click",2657,1
"library/cad_control.py","min_w",2699,0
"library/cad_control.py","ql",2724,0
"library/cad_control.py","srhd",2735,1
"library/cad_control.py","srhd_p",2783,1
"library/cad_control.py","comtomath",2831,0
"library/cad_control.py","p",2843,0
"library/cad_control.py","fuzhi_chakan",2859,0
"library/cad_control.py","celiang_wenzichangdu",2887,0
"library/cad_control.py","celiang_wenzichangdu_write",2904,0
"library/cad_control.py","qingkong_wenjianjia",2925,0
"library/cad_control.py","get_bbox_info",2947,1
"library/cad_control.py","bbox_orientation_flag",3003,1
"library/cad_control.py","group_bbox_corners",3026,1
"library/cad_control.py","bbox_center_2",3154,0
"library/cad_control.py","bbox_center_3",3162,1
"library/cad_control.py","safe_get_bbox",3170,1
"library/cad_control.py","analyze_dwg_objects_status",3238,1
"library/cad_geometry.py","compute_line_angle",52,1
"library/cad_geometry.py","draw_point",76,1
"library/cad_geometry.py","draw_line",95,1
"library/cad_geometry.py","draw_circle",114,1
"library/cad_geometry.py","draw_regular_polygon",134,1
"library/cad_geometry.py","prioritize_horizontal",166,1
"library/cad_geometry.py","get_spline_length_by_conversion",190,1
"library/cad_geometry.py","estimate_ellipse_length",228,1
"library/cad_geometry.py","get_entity_geometry_info",247,1
"library/cad_geometry.py","points_on_line_at_distance_3d",336,1
"library/cad_geometry.py","find_fake_intersection_regions",379,1
"library/cad_geometry.py","lines_daduan",446,1
"library/cad_geometry.py","delete_duplicate_lines",472,1
"library/cad_geometry.py","delete_redundant_lines",524,1
"library/cad_geometry.py","find_isolated_intersections",602,1
"library/cad_geometry.py","get_inner_point_of_polygon",683,1
"library/cad_geometry.py","get_room_outline_from_point",722,1
"library/cad_geometry.py","connect_lines_to_polyline_if_closed",748,1
"library/cad_geometry.py","is_closed_polygon_from_lines",824,1
"library/cad_geometry.py","same_point",886,1
"library/cad_geometry.py","same_line",892,1
"library/cad_geometry.py","calculate_absolute_angle",909,1
"library/cad_geometry.py","calculate_relative_angle",925,1
"library/cad_geometry.py","find_lines_angle",962,1
"library/cad_geometry.py","find_lines_sharing_point",1003,1
"library/cad_geometry.py","find_successor_line_max",1036,1
"library/cad_geometry.py","find_rightbottom_point",1083,1
"library/cad_geometry.py","find_rightbottom_closed_polygon",1140,1
"library/cad_geometry.py","draw_polygon_as_polyline",1211,1
"library/cad_geometry.py","is_nearly_equal",1327,0
"library/cad_geometry.py","find_successor_line_min",1335,0
"library/cad_geometry.py","get_outer_contour",1386,1
"library/cad_geometry.py","deduplicate_vertices",1483,1
"library/cad_geometry.py","analyze_polygon_branches",1525,1
"library/cad_geometry.py","remove_lines_in_LBv",1673,1
"library/cad_geometry.py","process_polygons",1714,1
"library/cad_geometry.py","extract_polygon_from_lines",1796,1
"library/cad_geometry.py","explode_polylines",1869,1
"library/cad_geometry.py","subtract_line_sets",1899,1
"library/cad_geometry.py","process_final",1928,0
"library/cad_geometry.py","draw_lwpolyline",2011,1
"library/cad_geometry.py","draw_lwpolyline",2092,1
"library/cad_geometry.py","get_unique_vertices_from_pl_com",2151,1
"library/cad_geometry.py","convert_lines_to_points",2188,1
"library/cad_geometry.py","merge_segments_new",2213,1
"library/cad_geometry.py","draw_polyline",2279,1
"library/cad_geometry.py","lines_to_polylines",2374,1
"library/cad_geometry.py","find_min_point",2471,1
"library/cad_geometry.py","find_max_point",2489,1
"library/cad_geometry.py","distance",2506,1
"library/cad_geometry.py","define_rectangle_by_diagonal",2515,1
"library/cad_geometry.py","define_rectangle_by_diagonal_x",2538,1
"library/cad_geometry.py","expand_rectangle",2565,1
"library/cad_geometry.py","parse_rectangle_points",2589,1
"library/cad_geometry.py","get_rectangular_polylines",2640,1
"library/cad_geometry.py","get_layout_rectangular_polylines_coords",2831,1
"library/cad_geometry.py","generate_name_and_ratio_from_com",2938,1
"library/cad_geometry.py","get_cad_app",3133,1
"library/cad_geometry.py","get_dimensions",3142,1
"library/cad_geometry.py","sort_coms_by_llcorner",3158,1
"library/cad_geometry.py","main",3189,0
"library/cad_geometry.py","generate_relation_list",3259,0
"library/cad_geometry.py","check_strict_standard_size",3291,1
"library/cad_geometry.py","check_strict_standard_size",3412,1
"library/cad_geometry.py","polyline_sort",3514,1
"library/cad_geometry.py","plcom_to_coor",3547,1
"library/cad_geometry.py","plcoor_to_com",3602,1
"library/cad_geometry.py","panduan_shuxiangkuang",3659,0
"library/cad_geometry.py","tongyi_tufu",3681,1
"library/cad_geometry.py","simplify_polygon",3714,1
"library/cad_geometry.py","normalize_polygon",3756,1
"library/cad_geometry.py","get_adjacent_points",3781,1
"library/cad_geometry.py","point_in_polygon",3800,1
"library/cad_geometry.py","line_segment_intersection_2d",3821,1
"library/cad_geometry.py","get_auxiliary_point",3850,1
"library/cad_geometry.py","concavity_measure",3900,1
"library/cad_geometry.py","concavity_angle",3930,1
"library/cad_geometry.py","split_orthogonal_hexagon",3945,1
"library/cad_geometry.py","split_orthogonal_hexagon_vertical",4018,1
"library/cad_geometry.py","area_of",4095,1
"library/cad_geometry.py","split_hexagon_combined",4108,1
"library/cad_geometry.py","get_bbox_edge_segments",4165,1
"library/cad_geometry.py","get_texts_in_polyline",4219,1
"library/cad_geometry.py","TDbMText_content",4272,1
"library/cad_geometry.py","distribute_points_on_entity",4383,0
"library/cad_geometry.py","is_segment_contained",4449,1
"library/cad_geometry.py","common_segments_between_polylines",4515,1
"library/cad_geometry.py","is_rect_inside_rect",4643,1
"library/cad_geometry.py","two_plines_making_rectangle",4676,1
"library/cad_geometry.py","are_all_vertices_inside",4798,1
"library/cad_objects.py","ensure_list",34,1
"library/cad_objects.py","sort_tuples",102,1
"library/cad_objects.py","multi_dim_tolerance_sort",129,1
"library/cad_objects.py","get_ll_pt",163,0
"library/cad_objects.py","get_center",167,0
"library/cad_objects.py","sort_entities_by_position",172,1
"library/cad_objects.py","get_line_start",205,1
"library/cad_objects.py","sort_coms_by_llcorner",216,1
"library/cad_objects.py","sort_coms_by_rbcorner",250,1
"library/cad_objects.py","sort_coms_by_llcorner_custom",287,1
"library/cad_objects.py","sort_coms_by_center",338,1
"library/cad_objects.py","number_entities_by_order",397,1
"library/cad_objects.py","pr_list",428,1
"library/cad_objects.py","apply_to_each2",453,1
"library/cad_objects.py","get_boundingbox_from_objects",521,1
"library/cad_objects.py","chuangjian_zu",546,0
"library/cad_objects.py","nametogroup",553,0
"library/cad_objects.py","get_all_group_names",561,1
"library/cad_objects.py","get_all_groups",574,1
"library/cad_objects.py","add_objects_to_group",594,1
"library/cad_objects.py","add_object_to_group",614,1
"library/cad_objects.py","remove_object_from_group",640,1
"library/cad_objects.py","remove_objects_from_group",670,1
"library/cad_objects.py","get_com_from_groupname",701,1
"library/cad_objects.py","get_com_from_groupname_by_type",723,1
"library/cad_objects.py","get_group_entities_sorted",752,1
"library/cad_objects.py","get_group_entities_sorted_by_type_and_bbox",793,1
"library/cad_objects.py","common_group_entities_sorted",839,1
"library/cad_objects.py","get_boundingbox_from_group",896,1
"library/cad_objects.py","copy_group_S1_from_doc1_to_doc2",910,1
"library/cad_objects.py","HandleToObject",1016,1
"library/cad_objects.py","print_coms_handle",1028,0
"library/cad_objects.py","handles_to_coms",1043,1
"library/cad_objects.py","get_all_handles",1060,1
"library/cad_objects.py","find_entity_by_handle",1079,1
"library/cad_objects.py","group_objects_by_type_and_handle",1101,1
"library/cad_objects.py","record_handle_with_type",1137,1
"library/cad_objects.py","convert_named_dict",1153,1
"library/cad_objects.py","get_named_object",1173,0
"library/cad_objects.py","draw_tags_on_objects_fixed",1180,1
"library/cad_objects.py","label_tarch_doors",1226,1
"library/cad_objects.py","get_handle_object_map",1271,1
"library/cad_objects.py","set_xdata",1300,1
"library/cad_objects.py","get_xdata",1348,1
"library/cad_objects.py","set_xdata_tab",1394,0
"library/cad_objects.py","is_printApp_xdata_com",1404,0
"library/cad_objects.py","write_cad_text",1420,1
"library/cad_objects.py","write_tianzheng_text",1543,1
"library/cad_objects.py","align_text_to_vertical_line",1777,1
"library/cad_objects.py","align_text_to_horizontal_line",1882,1
"library/cad_objects.py","scale_tianzheng_text_to_cad",1986,1
"library/cad_objects.py","sc_objs_to_layer",2097,0
"library/cad_objects.py","delete_layer",2145,1
"library/cad_objects.py","create_layers_from_list",2183,1
"library/cad_objects.py","delete_layers_from_list",2213,1
"library/cad_objects.py","dim_by_points",2255,1
"library/cad_objects.py","ensure_layer",2299,1
"library/cad_objects.py","ensure_layer_model_only",2351,1
