Top imports (overall):
-  64 time
-  46 os
-  44 win32com.client
-  41 sys
-  38 pathlib
-  36 pythoncom
-  34 CAD_file_operations
-  21 CAD_basic
-  19 traceback
-  19 system.CAD_coordination
-  18 system.licad
-  18 subprocess
-  17 datetime
-  16 system.project_setup
-  14 tkinter
-  13 system.CAD_com_utils
-  13 shutil
-  13 math
-  11 system.common_logger
-  11 ctypes
-  11 win32gui
-  11 logging
-  11 re
-  10 win32con
-  10 functools
-   9 openpyxl
-   9 threading
-   8 json
-   8 pywintypes
-   7 system.CAD_selection

Local-ish imports (heuristic):
-  19 system.CAD_coordination
-  18 system.licad
-  16 system.project_setup
-  13 system.CAD_com_utils
-  11 system.common_logger
-   7 system.CAD_selection
-   4 scripts.CAD_basic
-   2 system.CAD_core
-   2 scripts.CAD_file_operations
-   1 system
