file,import,kind
"library/cad_annotation.py","sys","import"
"library/cad_annotation.py","pathlib","from"
"library/cad_annotation.py","system.project_setup","from"
"library/cad_annotation.py","system.licad","from"
"library/cad_annotation.py","system.CAD_com_utils","from"
"library/cad_annotation.py","win32com.client","import"
"library/cad_annotation.py","pythoncom","import"
"library/cad_annotation.py","win32com.client","from"
"library/cad_blocks.py","sys","import"
"library/cad_blocks.py","pathlib","from"
"library/cad_blocks.py","system.project_setup","from"
"library/cad_blocks.py","system.licad","from"
"library/cad_blocks.py","system.CAD_com_utils","from"
"library/cad_blocks.py","system.common_logger","from"
"library/cad_blocks.py","time","import"
"library/cad_blocks.py","pythoncom","import"
"library/cad_blocks.py","contextlib","from"
"library/cad_blocks.py","pythoncom","import"
"library/cad_blocks.py","time","import"
"library/cad_blocks.py","pythoncom","import"
"library/cad_blocks.py","datetime","from"
"library/cad_blocks.py","time","import"
"library/cad_blocks.py","pythoncom","import"
"library/cad_blocks.py","datetime","from"
"library/cad_blocks.py","collections","from"
"library/cad_blocks.py","pythoncom","import"
"library/cad_blocks.py","datetime","from"
"library/cad_blocks.py","system.CAD_selection","from"
"library/cad_blocks.py","system.CAD_selection","from"
"library/cad_blocks.py","system.CAD_selection","from"
"library/cad_blocks.py","system.CAD_selection","from"
"library/cad_blocks.py","pandas","import"
"library/cad_control.py","sys","import"
"library/cad_control.py","pathlib","from"
"library/cad_control.py","system.project_setup","from"
"library/cad_control.py","system.licad","from"
"library/cad_control.py","system.CAD_com_utils","from"
"library/cad_control.py","system.common_logger","from"
"library/cad_control.py","os","import"
"library/cad_control.py","shutil","import"
"library/cad_control.py","os","import"
"library/cad_control.py","shutil","import"
"library/cad_control.py","sys","import"
"library/cad_control.py","subprocess","import"
"library/cad_control.py","time","import"
"library/cad_control.py","imageio","import"
"library/cad_control.py","ctypes","import"
"library/cad_control.py","魔方分析","import"
"library/cad_control.py","ctypes","import"
"library/cad_control.py","math","import"
"library/cad_control.py","time","import"
"library/cad_control.py","win32com.client","from"
"library/cad_control.py","system.CAD_selection","from"
"library/cad_control.py","win32com","import"
"library/cad_control.py","site","import"
"library/cad_control.py","win32gui","import"
"library/cad_control.py","win32con","import"
"library/cad_control.py","win32gui","import"
"library/cad_control.py","win32con","import"
"library/cad_control.py","win32com.client","import"
"library/cad_control.py","win32com.client","import"
"library/cad_geometry.py","sys","import"
"library/cad_geometry.py","pathlib","from"
"library/cad_geometry.py","system.project_setup","from"
"library/cad_geometry.py","system.licad","from"
"library/cad_geometry.py","system.CAD_com_utils","from"
"library/cad_geometry.py","system.common_logger","from"
"library/cad_geometry.py","shapely.geometry","from"
"library/cad_geometry.py","typing","from"
"library/cad_geometry.py","math","import"
"library/cad_geometry.py","typing","from"
"library/cad_geometry.py","CAD_file_operations","from"
"library/cad_geometry.py","math","import"
"library/cad_geometry.py","math","import"
"library/cad_objects.py","sys","import"
"library/cad_objects.py","pathlib","from"
"library/cad_objects.py","system.project_setup","from"
"library/cad_objects.py","system.licad","from"
"library/cad_objects.py","system.CAD_com_utils","from"
"library/cad_objects.py","system.common_logger","from"
"library/cad_objects.py","system.CAD_core","from"
"library/cad_objects.py","win32com.client","import"
"library/cad_objects.py","pythoncom","import"
"library/cad_objects.py","system.CAD_core","from"
"library/cad_objects.py","pyautogui","import"
"library/cad_objects.py","time","import"
"library/cad_objects.py","CAD_file_operations","from"
"library/cad_objects.py","traceback","import"
"library/execution_result.py","enum","from"
"library/execution_result.py","typing","from"
"library/tarch_building.py","sys","import"
"library/tarch_building.py","pathlib","from"
"library/tarch_building.py","system.project_setup","from"
"library/tarch_building.py","system.licad","from"
"library/tarch_building.py","system.CAD_com_utils","from"
"library/tarch_building.py","system.CAD_coordination","from"
"library/tarch_building.py","time","import"
"library/tarch_building.py","subprocess","import"
"library/tarch_building.py","time","import"
"library/tarch_building.py","win32gui","import"
"library/tarch_building.py","win32con","import"
"library/tarch_building.py","pyautogui","import"
"library/tarch_building.py","system.licad","from"
"library/tarch_building.py","math","import"
"library/tarch_building.py","json","import"
"library/tarch_building.py","os","import"
"library/tarch_building.py","CAD_basic","from"
"library/tarch_building.py","sys","import"
"library/tarch_building.py","time","import"
"library/tarch_building.py","CAD_basic","from"
"library/tarch_building.py","system.CAD_coordination","from"
"library/tarch_building.py","sys","import"
"library/tarch_building.py","time","import"
"library/tarch_building.py","CAD_basic","from"
"library/tarch_building.py","system.CAD_coordination","from"
