topic_id,source_doc,basename,title,kind_guess,owner_guess,class_guess,value_level,status,project_score,project_tags,keywords,path,notes
acad_aag:GUID_10F797AA_5032_4298_A2A5_C69449275F0E,acad_aag,GUID-10F797AA-5032-4298-A2A5-C69449275F0E.htm,About Layouts and Blocks (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,16,"layout,titleblock","a2a5,about,activex,and,blocks,c69449275f0e,f797aa,guid,htm,layouts,vba",01_extracted_html/acad_aag/GUID-10F797AA-5032-4298-A2A5-C69449275F0E.htm,project-relevant core topic
acad_aag:topichead_9,acad_aag,topichead_9.htm,Define and Plot Layouts,topic,,core_symbol,high,keep,16,"layout,print","and,define,htm,layouts,plot,topichead_9",01_extracted_html/acad_aag/topichead_9.htm,project-relevant core topic
acad_aag:GUID_D86DF08B_BBD3_4E0F_AB75_13B2C4AD972C,acad_aag,GUID-D86DF08B-BBD3-4E0F-AB75-13B2C4AD972C.htm,"About Assigning Layers, Colors, and Linetypes to Objects (VBA/ActiveX)",object,VBA/ActiveX,core_symbol,high,keep,12,construction,"ab75,about,activex,and,assigning,b2c4ad972c,bbd3,colors,d86df08b,e0f,guid,htm,layers,linetypes,objects,vba",01_extracted_html/acad_aag/GUID-D86DF08B-BBD3-4E0F-AB75-13B2C4AD972C.htm,project-relevant core topic
acad_aag:GUID_72E0EC31_B232_4688_BFFF_CA10F42E1034,acad_aag,GUID-72E0EC31-B232-4688-BFFF-CA10F42E1034.htm,About Sorting Layers and Linetypes (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,12,construction,"about,activex,and,b232,bfff,ca10f42e1034,e0ec31,guid,htm,layers,linetypes,sorting,vba",01_extracted_html/acad_aag/GUID-72E0EC31-B232-4688-BFFF-CA10F42E1034.htm,project-relevant core topic
acad_aag:GUID_F9C39B22_6AF1_4501_9EE8_928C1B4AAA21,acad_aag,GUID-F9C39B22-6AF1-4501-9EE8-928C1B4AAA21.htm,About Using Blocks and Attributes (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,12,titleblock,"about,activex,af1,and,attributes,blocks,c1b4aaa21,ee8,f9c39b22,guid,htm,using,vba",01_extracted_html/acad_aag/GUID-F9C39B22-6AF1-4501-9EE8-928C1B4AAA21.htm,project-relevant core topic
acad_aag:GUID_5B2CCA06_1A61_46F6_BABE_6B8BEA1DF20D,acad_aag,GUID-5B2CCA06-1A61-46F6-BABE-6B8BEA1DF20D.htm,About Creating and Naming Layers (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"a61,about,activex,and,b2cca06,b8bea1df20d,babe,creating,guid,htm,layers,naming,vba",01_extracted_html/acad_aag/GUID-5B2CCA06-1A61-46F6-BABE-6B8BEA1DF20D.htm,project-relevant core topic
acad_aag:GUID_463948A3_EE1E_4448_B3A6_B0B67B8902F1,acad_aag,GUID-463948A3-EE1E-4448-B3A6-B0B67B8902F1.htm,About Deleting Layers (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"about,activex,b0b67b8902f1,b3a6,deleting,ee1e,guid,htm,layers,vba",01_extracted_html/acad_aag/GUID-463948A3-EE1E-4448-B3A6-B0B67B8902F1.htm,project-relevant core topic
acad_aag:GUID_A1815C41_7753_45F5_B8BC_31F67F79F138,acad_aag,GUID-A1815C41-7753-45F5-B8BC-31F67F79F138.htm,About Freezing and Thawing Layers (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"a1815c41,about,activex,and,b8bc,f67f79f138,freezing,guid,htm,layers,thawing,vba",01_extracted_html/acad_aag/GUID-A1815C41-7753-45F5-B8BC-31F67F79F138.htm,project-relevant core topic
acad_aag:GUID_10344852_4888_4237_8EB6_5EBE24D5C87C,acad_aag,GUID-10344852-4888-4237-8EB6-5EBE24D5C87C.htm,About Layouts (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,layout,"about,activex,eb6,ebe24d5c87c,guid,htm,layouts,vba",01_extracted_html/acad_aag/GUID-10344852-4888-4237-8EB6-5EBE24D5C87C.htm,project-relevant core topic
acad_aag:GUID_0A9F3388_F958_4727_BC58_1BF2820E7A45,acad_aag,GUID-0A9F3388-F958-4727-BC58-1BF2820E7A45.htm,About Locking and Unlocking Layers (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"a9f3388,about,activex,and,bc58,bf2820e7a45,f958,guid,htm,layers,locking,unlocking,vba",01_extracted_html/acad_aag/GUID-0A9F3388-F958-4727-BC58-1BF2820E7A45.htm,project-relevant core topic
acad_aag:GUID_ACACB44A_F7C0_4756_9E90_30AFFB14E4D5,acad_aag,GUID-ACACB44A-F7C0-4756-9E90-30AFFB14E4D5.htm,About Turning Layers on and off (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"about,acacb44a,activex,affb14e4d5,and,e90,f7c0,guid,htm,layers,off,turning,vba",01_extracted_html/acad_aag/GUID-ACACB44A-F7C0-4756-9E90-30AFFB14E4D5.htm,project-relevant core topic
acad_aag:GUID_52B191C9_B183_4B20_96FD_AE3F44FA9AFA,acad_aag,GUID-52B191C9-B183-4B20-96FD-AE3F44FA9AFA.htm,About Using the LayerStateManager to Manage Layer Settings (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"about,activex,ae3f44fa9afa,b183,b191c9,b20,guid,htm,layer,layerstatemanager,manage,settings,the,using,vba",01_extracted_html/acad_aag/GUID-52B191C9-B183-4B20-96FD-AE3F44FA9AFA.htm,project-relevant core topic
acad_aag:GUID_14688C25_B001_49FA_A4EB_DA48A708CDA7,acad_aag,GUID-14688C25-B001-49FA-A4EB-DA48A708CDA7.htm,About Working with Layers (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,construction,"a4eb,about,activex,b001,c25,da48a708cda7,guid,htm,layers,vba,with,working",01_extracted_html/acad_aag/GUID-14688C25-B001-49FA-A4EB-DA48A708CDA7.htm,project-relevant core topic
acad_aag:GUID_83045B84_E056_4AE6_AEF5_D48AFB4F9F78,acad_aag,GUID-83045B84-E056-4AE6-AEF5-D48AFB4F9F78.htm,About Working with No Documents Open (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,10,document,"about,activex,ae6,aef5,b84,d48afb4f9f78,documents,e056,guid,htm,open,vba,with,working",01_extracted_html/acad_aag/GUID-83045B84-E056-4AE6-AEF5-D48AFB4F9F78.htm,project-relevant core topic
acad_aag:GUID_9091E614_25B8_452E_A67A_301939B52161,acad_aag,GUID-9091E614-25B8-452E-A67A-301939B52161.htm,"About the Preferences, Plot, and Utility Objects (VBA/ActiveX)",object,VBA/ActiveX,core_symbol,high,keep,10,print,"a67a,about,activex,and,b52161,e614,guid,htm,objects,plot,preferences,the,utility,vba",01_extracted_html/acad_aag/GUID-9091E614-25B8-452E-A67A-301939B52161.htm,project-relevant core topic
acad_aag:GUID_435FABFF_D469_4004_AB1E_A47295959AB1,acad_aag,GUID-435FABFF-D469-4004-AB1E-A47295959AB1.htm,About Assigning a Linetype to a Layer (VBA/ActiveX),topic,VBA/ActiveX,core_symbol,high,keep,8,construction,"a47295959ab1,ab1e,about,activex,assigning,d469,fabff,guid,htm,layer,linetype,vba",01_extracted_html/acad_aag/GUID-435FABFF-D469-4004-AB1E-A47295959AB1.htm,project-relevant core topic
acad_aag:GUID_49A4B783_D344_497B_BF37_3B4925813B31,acad_aag,GUID-49A4B783-D344-497B-BF37-3B4925813B31.htm,"About Changing the Layer, Boundary Color, and Boundary Linetype for an Image (VBA/ActiveX)",topic,VBA/ActiveX,core_symbol,high,keep,8,construction,"a4b783,about,activex,and,b4925813b31,bf37,boundary,changing,color,d344,for,guid,htm,image,layer,linetype,the,vba",01_extracted_html/acad_aag/GUID-49A4B783-D344-497B-BF37-3B4925813B31.htm,project-relevant core topic
acadauto:ex_layoutshowplotsetup,acadauto,ex_layoutshowplotsetup.htm,LayoutShowPlotSetup Example [ActiveX and VBA Reference: AAR],topic,,on_demand,low,defer,16,"layout,print","aar,activex,and,ex_layoutshowplotsetup,example,htm,layoutshowplotsetup,reference,vba",01_extracted_html/acadauto/ex_layoutshowplotsetup.htm,example page
